Actions: [(5,), (6,), (1,), (2,), (4,), (3,), (5, 6), (5, 1), (5, 2), (5, 4), (5, 3), (6, 1), (6, 2), (6, 4), (6, 3), (1, 2), (1, 4), (1, 3), (2, 4), (2, 3), (4, 3)]
Episode 0 of 40000
         2505781 function calls (2451342 primitive calls) in 20.422 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6177    0.006    0.000    0.008    0.000 {built-in method builtins.max}
     3874    0.006    0.000    0.009    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
      904    0.006    0.000    0.056    0.000 functional.py:3135(smooth_l1_loss)
   1049/6    0.005    0.000    1.583    0.264 <frozen importlib._bootstrap>:1022(_find_and_load)
     3267    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:125(release)
     4252    0.005    0.000    0.011    0.000 artist.py:1555(aliased_name)
      117    0.005    0.000    0.202    0.002 artist.py:1598(pprint_setters)
      904    0.005    0.000    0.005    0.000 {built-in method broadcast_tensors}
        1    0.005    0.005    0.013    0.013 {built-in method torch._C._initExtension}
      904    0.005    0.000    0.020    0.000 __init__.py:30(_make_grads)
     2731    0.005    0.000    0.007    0.000 container.py:131(__iter__)
    911/1    0.005    0.000   20.431   20.431 {built-in method builtins.exec}
     2318    0.005    0.000    0.011    0.000 grad_mode.py:126(__enter__)
     6825    0.005    0.000    0.012    0.000 enum.py:359(__call__)
     1001    0.005    0.000    0.026    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      836    0.005    0.000    0.027    0.000 typing.py:1016(__init__)
     9325    0.005    0.000    0.005    0.000 sre_parse.py:234(__next)
   1001/6    0.005    0.000    1.583    0.264 <frozen importlib._bootstrap>:664(_load_unlocked)
     2318    0.005    0.000    0.011    0.000 grad_mode.py:130(__exit__)
  778/708    0.004    0.000    0.028    0.000 inspect.py:2375(_signature_from_callable)
     9150    0.004    0.000    0.007    0.000 _tensor.py:706(__hash__)
     7315    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
   1046/6    0.004    0.000    1.583    0.264 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
 2311/323    0.004    0.000    0.005    0.000 {built-in method _abc._abc_subclasscheck}
     7099    0.004    0.000    0.007    0.000 typing.py:935(_is_dunder)
     9041    0.004    0.000    0.004    0.000 {method 'conj' of 'torch._C._TensorBase' objects}
 1908/569    0.004    0.000    0.005    0.000 sre_parse.py:175(getwidth)
      904    0.004    0.000    0.835    0.001 lr_scheduler.py:60(wrapper)
      370    0.004    0.000    0.004    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
     3714    0.004    0.000    0.013    0.000 shape_base.py:215(_vhstack_dispatcher)
     3252    0.004    0.000    0.005    0.000 {method 'format' of 'str' objects}
    11505    0.004    0.000    0.006    0.000 sre_parse.py:165(__getitem__)
       30    0.004    0.000    0.027    0.001 __init__.py:847(_rc_params_in_file)
     3695    0.004    0.000    0.025    0.000 random.py:366(randint)
       76    0.004    0.000    0.007    0.000 {built-in method builtins.eval}
     5789    0.004    0.000    0.068    0.000 re.py:197(search)
     9030    0.004    0.000    0.004    0.000 {method 'requires_grad_' of 'torch._C._TensorBase' objects}
     1808    0.004    0.000    0.012    0.000 profiler.py:439(__exit__)
     1022    0.004    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      375    0.004    0.000    0.005    0.000 sre_compile.py:292(_optimize_charset)
     2731    0.004    0.000    0.022    0.000 flatten.py:44(forward)
      126    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
     1318    0.004    0.000    0.013    0.000 tokenize.py:431(_tokenize)
