Actions: [(5,), (6,), (1,), (2,), (4,), (3,), (5, 6), (5, 1), (5, 2), (5, 4), (5, 3), (6, 1), (6, 2), (6, 4), (6, 3), (1, 2), (1, 4), (1, 3), (2, 4), (2, 3), (4, 3)]
Episode 0 of 40000
         2505781 function calls (2451342 primitive calls) in 20.422 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 record_episode_statistics.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ttf.py:545(FontManager)
        8    0.000    0.000    0.000    0.000 core.py:4331(_generateDefaultName)
        6    0.000    0.000    0.000    0.000 deprecation.py:239(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5111(__init__)
        1    0.000    0.000    0.000    0.000 _adapters.py:8(Message)
        1    0.000    0.000    0.000    0.000 pareto.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dirichlet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:249(_ctypes)
        1    0.000    0.000    0.000    0.000 platform.py:772(uname_result)
       15    0.000    0.000    0.000    0.000 utils.py:28(<genexpr>)
        1    0.000    0.000    0.000    0.000 linear.py:9(LinearPackedParams)
        1    0.000    0.000    0.000    0.000 messages.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _ops.py:188(__getattr__)
        3    0.000    0.000    0.000    0.000 posixpath.py:392(realpath)
       24    0.000    0.000    0.000    0.000 dviread.py:221(<listcomp>)
        2    0.000    0.000    0.002    0.001 __init__.py:153(_lazy_call)
        4    0.000    0.000    0.000    0.000 _torch_docs.py:28(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:790(HTTPConnection)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 lkj_cholesky.py:18(LKJCholesky)
       11    0.000    0.000    0.000    0.000 init.py:523(_make_deprecate)
        1    0.000    0.000    0.000    0.000 profiler.py:41(profile)
        1    0.000    0.000    0.000    0.000 _text.py:7(FoldedCase)
        1    0.000    0.000    0.000    0.000 discrete.py:9(Discrete)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1212(AnnotationBbox)
        3    0.000    0.000    0.000    0.000 enum.py:937(_missing_)
        1    0.000    0.000    0.000    0.000 core.py:116(__diag__)
        1    0.000    0.000    0.000    0.000 file_structure_representation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 signal_handling.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:665(Colormap)
        1    0.000    0.000    0.000    0.000 sync_vector_env.py:15(SyncVectorEnv)
        1    0.000    0.000    0.000    0.000 __init__.py:672(softmin)
        1    0.000    0.000    0.000    0.000 distribution.py:1(<module>)
        1    0.000    0.000    0.000    0.000 filelister.py:7(FileListerIterDataPipe)
        2    0.000    0.000    0.001    0.000 __init__.py:99(load_first_config)
        1    0.000    0.000    0.000    0.000 __init__.py:494(amin)
        1    0.000    0.000    0.000    0.000 testing.py:15(pyparsing_test)
        3    0.000    0.000    0.000    0.000 core.py:704(add_parse_action)
        1    0.000    0.000    0.000    0.000 categorical.py:8(Categorical)
        1    0.000    0.000    0.000    0.000 multinomial.py:10(Multinomial)
        1    0.000    0.000    0.000    0.000 core.py:3749(ParseExpression)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:79(<genexpr>)
        1    0.000    0.000    0.000    0.000 distributed_c10d.py:166(_reduce_op)
       17    0.000    0.000    0.000    0.000 typing.py:2280(<listcomp>)
        1    0.000    0.000    0.000    0.000 client.py:108(<dictcomp>)
        1    0.000    0.000    0.000    0.000 parallel_apply.py:1(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 resource_sharer.py:61(_ResourceSharer)
        1    0.000    0.000    0.000    0.000 core.py:3018(Regex)
       69    0.000    0.000    0.000    0.000 _jit_internal.py:947(__getitem__)
        1    0.000    0.000    0.566    0.566 metrics.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sparse.py:12(Embedding)
        2    0.000    0.000    0.000    0.000 arrayprint.py:503(decorating_function)
        2    0.000    0.000    0.002    0.001 traceback.py:209(format_stack)
       40    0.000    0.000    0.000    0.000 contextlib.py:530(__enter__)
        1    0.000    0.000    0.000    0.000 learning_agent.py:27(AIKirby)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:2061(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _serialization.py:1(<module>)
        4    0.000    0.000    0.000    0.000 platform.py:908(system)
        1    0.000    0.000    0.000    0.000 _policybase.py:271(Compat32)
        1    0.000    0.000    0.000    0.000 one_hot_categorical.py:7(OneHotCategorical)
        3    0.000    0.000    0.000    0.000 core.py:3641(__init__)
        1    0.000    0.000    0.000    0.000 von_mises.py:68(VonMises)
        1    0.000    0.000    0.000    0.000 gamma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:2177(_SelectorWidget)
       30    0.000    0.000    0.000    0.000 results.py:251(__contains__)
        1    0.000    0.000    0.000    0.000 colors.py:1216(Normalize)
        4    0.000    0.000    0.000    0.000 ssl.py:457(__new__)
        6    0.000    0.000    0.000    0.000 __init__.py:1455(debug)
        1    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        1    0.000    0.000    0.000    0.000 linear.py:10(Linear)
        3    0.000    0.000    0.000    0.000 dll.py:91(_so_version_num)
        1    0.000    0.000    0.000    0.000 _afm.py:358(AFM)
        1    0.000    0.000    0.000    0.000 quiver.py:866(Barbs)
        1    0.000    0.000    0.000    0.000 pathlib.py:282(_NormalAccessor)
        1    0.000    0.000    0.000    0.000 negative_binomial.py:1(<module>)
       36    0.000    0.000    0.000    0.000 selectors.py:273(get_map)
       30    0.000    0.000    0.000    0.000 function_base.py:19(_linspace_dispatcher)
        1    0.000    0.000    0.001    0.001 rnn.py:779(GRU)
        1    0.000    0.000    0.000    0.000 transforms.py:1685(TransformWrapper)
        1    0.000    0.000    0.000    0.000 _digraph.py:5(DiGraph)
        1    0.000    0.000    0.000    0.000 threading.py:1386(__init__)
        1    0.000    0.000    0.000    0.000 __config__.py:95(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:771(FastPath)
        1    0.000    0.000    0.000    0.000 ssl.py:841(SSLObject)
        1    0.000    0.000    0.000    0.000 relativedelta.py:18(relativedelta)
        4    0.000    0.000    0.000    0.000 __init__.py:609(gen_candidates)
        1    0.000    0.000    0.000    0.000 studentT.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:3612(__init__)
        1    0.000    0.000    0.000    0.000 categorical.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parameter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utils_internal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 env_checker.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:536(Repository)
        3    0.000    0.000    0.000    0.000 _ops.py:155(__init__)
        1    0.000    0.000    0.000    0.000 parametrizations.py:37(_Orthogonal)
        1    0.000    0.000    0.000    0.000 colors.py:958(LinearSegmentedColormap)
        1    0.000    0.000    0.000    0.000 combining.py:7(ConcaterMapDataPipe)
       64    0.000    0.000    0.000    0.000 {built-in method math.isnan}
        1    0.000    0.000    0.000    0.000 zipfile.py:2257(Path)
        1    0.000    0.000    0.000    0.000 figure.py:73(_AxesStack)
        1    0.000    0.000    0.000    0.000 win.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vector_env.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3371(_Backend)
        1    0.000    0.000    0.000    0.000 tempfile.py:661(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 profiler_util.py:14(EventList)
        1    0.000    0.000    0.000    0.000 multi_binary.py:9(MultiBinary)
        1    0.000    0.000    0.000    0.000 poisson.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:97(ColorSequenceRegistry)
        1    0.000    0.000    0.000    0.000 collections.py:1302(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 patches.py:2658(ConnectionStyle)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        1    0.000    0.000    0.000    0.000 independent.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:654(log_softmax)
        1    0.000    0.000    0.000    0.000 laplace.py:1(<module>)
        1    0.000    0.000    0.000    0.000 testing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 uniform.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compatibility.py:46(EnvCompatibility)
       42    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 backend_managers.py:32(ToolManager)
        1    0.000    0.000    0.000    0.000 ssl.py:183(_TLSAlertType)
       17    0.000    0.000    0.000    0.000 results.py:260(__iter__)
        1    0.000    0.000    0.000    0.000 trace_dependencies.py:1(<module>)
        2    0.000    0.000    0.000    0.000 space.py:50(__init__)
        1    0.000    0.000    0.000    0.000 connection.py:114(_ConnectionBase)
        1    0.000    0.000    0.000    0.000 channelshuffle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1090(TimerBase)
        1    0.000    0.000    0.000    0.000 functional.py:1788(softmax)
        1    0.000    0.000    0.000    0.000 compat.py:127(deprecated)
        1    0.000    0.000    0.000    0.000 dataframe_wrapper.py:21(PandasWrapper)
        1    0.000    0.000    0.000    0.000 map.py:1(<module>)
        1    0.000    0.000    0.000    0.000 find_file_dependencies.py:8(_ExtractModuleReferences)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
        3    0.000    0.000    0.000    0.000 six.py:96(__get__)
        1    0.000    0.000    0.000    0.000 _iotools.py:229(NameValidator)
        1    0.000    0.000    0.000    0.000 relaxed_bernoulli.py:10(LogitRelaxedBernoulli)
        1    0.000    0.000    0.000    0.000 join.py:42(Joinable)
        6    0.000    0.000    0.000    0.000 six.py:131(__init__)
        3    0.000    0.000    0.000    0.000 _fontconfig_pattern.py:59(comma_separated)
        1    0.000    0.000    0.000    0.000 exponential.py:1(<module>)
        1    0.000    0.000    0.000    0.000 eventloop.py:1(<module>)
       24    0.000    0.000    0.000    0.000 {method 'unregister' of 'select.poll' objects}
        1    0.000    0.000    0.000    0.000 core.py:5687(Combine)
        1    0.000    0.000    0.000    0.000 rnn.py:13(LSTMCell)
        5    0.000    0.000    0.000    0.000 init.py:122(uniform_)
       10    0.000    0.000    0.000    0.000 _docstring.py:33(__init__)
        1    0.000    0.000    0.000    0.000 activation.py:41(Hardswish)
        9    0.000    0.000    0.000    0.000 _pytesttester.py:76(__init__)
        1    0.000    0.000    0.000    0.000 collections.py:1972(_MeshData)
        2    0.000    0.000    0.000    0.000 dataclasses.py:598(_frozen_get_del_attr)
       24    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 ExifTags.py:304(GPS)
        1    0.000    0.000    0.000    0.000 embedding_ops.py:175(EmbeddingBag)
        1    0.000    0.000    0.000    0.000 _mathtext.py:221(Fonts)
        7    0.000    0.000    0.000    0.000 legend_handler.py:171(__init__)
        1    0.000    0.000    0.000    0.000 video_recorder.py:11(VideoRecorder)
        5    0.000    0.000    0.000    0.000 dataset.py:123(register_datapipe_as_function)
        1    0.000    0.000    0.000    0.000 internal.py:29(_InternalRPCPickler)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        5    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 category.py:26(StrCategoryConverter)
        1    0.000    0.000    0.000    0.000 __init__.py:235(DeprecatedList)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2836(min)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        1    0.000    0.000    0.000    0.000 __init__.py:582(get_data_path)
        1    0.000    0.000    0.000    0.000 collections.py:1176(PolyCollection)
        1    0.000    0.000    0.001    0.001 scatter_gather.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
        8    0.000    0.000    0.000    0.000 pixels.py:143(SDL_FOURCC)
        1    0.000    0.000    0.000    0.000 core.py:2743(Word)
       12    0.000    0.000    0.000    0.000 selectors.py:203(__exit__)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:47(with_counter)
        1    0.000    0.000    0.000    0.000 conv.py:106(Conv1d)
       15    0.000    0.000    0.000    0.000 ssl.py:996(_sslcopydoc)
        1    0.000    0.000    0.000    0.000 grad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1420(Logger)
        1    0.000    0.000    0.000    0.000 streamreader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:588(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 subprocess.py:648(_use_posix_spawn)
        1    0.000    0.000    0.000    0.000 core.py:6540(MaskedConstant)
        1    0.000    0.000    0.000    0.000 optimizer.py:78(_hook_for_profile)
        4    0.000    0.000    0.000    0.000 rcsetup.py:221(validate_fonttype)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dirichlet.py:29(Dirichlet)
       10    0.000    0.000    0.000    0.000 _text.py:90(lower)
        1    0.000    0.000    0.000    0.000 one_hot_categorical.py:1(<module>)
        1    0.000    0.000    0.000    0.000 testing.py:124(TestParseResultsAsserts)
        1    0.000    0.000    0.000    0.000 observer.py:117(_ObserverBase)
        6    0.000    0.000    0.000    0.000 __init__.py:312(_logged_cached)
        1    0.000    0.000    0.000    0.000 lkj_cholesky.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:2185(timezone)
        1    0.000    0.000    0.000    0.000 core.py:4535(ParseElementEnhance)
        2    0.000    0.000    0.000    0.000 types.py:100(prepare_class)
        1    0.000    0.000    0.000    0.000 cauchy.py:11(Cauchy)
        2    0.000    0.000    0.000    0.000 linear.py:6(Linear)
        1    0.000    0.000    0.000    0.000 transforms.py:945(CatTransform)
       20    0.000    0.000    0.000    0.000 __future__.py:18(get_overwrite_module_params_on_conversion)
        1    0.000    0.000    0.000    0.000 conv.py:652(ConvTranspose1d)
        2    0.000    0.000    0.000    0.000 weakref.py:165(__setitem__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_224}
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
        1    0.000    0.000    0.000    0.000 binomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 join.py:111(Join)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _version.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 functional_modules.py:127(QFunctional)
        1    0.000    0.000    0.000    0.000 util.py:102(__init__)
        1    0.000    0.000    0.000    0.000 _docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 profiler_util.py:372(FunctionEvent)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 art3d.py:534(Patch3DCollection)
        1    0.000    0.000    0.000    0.000 core.py:5322(__init__)
        2    0.000    0.000    0.003    0.001 __init__.py:331(get_device_capability)
        5    0.000    0.000    0.000    0.000 weakref.py:511(update)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:286(CubicTriInterpolator)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adamw.py:6(AdamW)
        1    0.000    0.000    0.000    0.000 log_normal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:241(parserinfo)
        1    0.000    0.000    0.031    0.031 atari_preprocessing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dataset.py:248(IterDataPipe)
        1    0.000    0.000    0.000    0.000 patches.py:1693(Annulus)
        1    0.000    0.000    0.000    0.000 lbfgs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tz.py:132(tzoffset)
        6    0.000    0.000    0.000    0.000 _version.py:62(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1795(LoggerAdapter)
        1    0.000    0.000    0.007    0.007 __init__.py:456(load)
        6    0.000    0.000    0.000    0.000 core.py:5090(__init__)
       30    0.000    0.000    0.000    0.000 fromnumeric.py:3172(_ndim_dispatcher)
        1    0.000    0.000    0.000    0.000 lowrank_multivariate_normal.py:46(LowRankMultivariateNormal)
       21    0.000    0.000    0.000    0.000 core.py:3780(recurse)
        1    0.000    0.000    0.000    0.000 patches.py:4054(FancyArrowPatch)
        1    0.000    0.000    0.000    0.000 selecting.py:22(FilterIterDataPipe)
        4    0.000    0.000    0.000    0.000 __init__.py:8(set_module)
        1    0.000    0.000    0.000    0.000 ebs.py:20(Entity)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
        1    0.000    0.000    0.000    0.000 socket.py:214(socket)
        1    0.000    0.000    0.000    0.000 upsampling.py:9(Upsample)
        1    0.000    0.000    0.000    0.000 zipfile.py:1192(ZipFile)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:3922(And)
        5    0.000    0.000    0.000    0.000 core.py:6033(token_map)
        1    0.000    0.000    0.000    0.000 polar.py:18(PolarTransform)
       18    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        1    0.000    0.000    0.000    0.000 __init__.py:59(Sectioned)
        1    0.000    0.000    0.000    0.000 distributed_c10d.py:87(Backend)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2579(FigureManagerBase)
        1    0.000    0.000    0.000    0.000 spines.py:522(Spines)
       15    0.000    0.000    0.000    0.000 _jit_internal.py:662(_copy_to_script_wrapper)
        2    0.000    0.000    0.000    0.000 stubs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:54(<listcomp>)
        3    0.000    0.000    0.000    0.000 _version.py:114(_compare)
       17    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
       34    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       12    0.000    0.000    0.000    0.000 {built-in method select.poll}
        1    0.000    0.000    0.000    0.000 logistic_normal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 functional_modules.py:7(FloatFunctional)
        2    0.000    0.000    0.000    0.000 rect.py:49(__init__)
        5    0.000    0.000    0.001    0.000 core.py:3089(re)
        1    0.000    0.000    0.000    0.000 KirbyGame.py:5(GameState)
       30    0.000    0.000    0.000    0.000 core.py:4278(<genexpr>)
        1    0.000    0.000    0.000    0.000 relaxed_categorical.py:10(ExpRelaxedCategorical)
        1    0.000    0.000    0.000    0.000 _lobpcg.py:650(LOBPCG)
        4    0.000    0.000    0.000    0.000 inspect.py:3033(<dictcomp>)
        1    0.000    0.000    0.000    0.000 patches.py:610(Shadow)
        1    0.000    0.000    0.000    0.000 difflib.py:44(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 conv_relu.py:56(ConvReLU2d)
        3    0.000    0.000    0.000    0.000 _six.py:37(__prepare__)
        1    0.000    0.000    0.000    0.000 transforms.py:1276(Transform)
        1    0.000    0.000    0.000    0.000 _trace.py:1113(_script_if_tracing)
        4    0.000    0.000    0.000    0.000 functools.py:946(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:460(get_arch_list)
        1    0.000    0.000    0.000    0.000 multi_binary.py:1(<module>)
        1    0.000    0.000    0.000    0.000 order_enforcing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _meta.py:7(PackageMetadata)
        3    0.000    0.000    0.000    0.000 core.py:4949(__init__)
        3    0.000    0.000    0.000    0.000 _six.py:32(metaclass)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 combining.py:16(ConcaterIterDataPipe)
        1    0.000    0.000    0.000    0.000 swa_utils.py:189(SWALR)
        1    0.000    0.000    0.000    0.000 _tripcolor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adaptive.py:18(AdaptiveLogSoftmaxWithLoss)
        1    0.000    0.000    0.000    0.000 transformed_distribution.py:10(TransformedDistribution)
        1    0.000    0.000    0.000    0.000 transform_observation.py:7(TransformObservation)
        1    0.000    0.000    0.000    0.000 widgets.py:1602(RadioButtons)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:150(ChunkStream)
        1    0.000    0.000    0.000    0.000 discrete.py:20(__init__)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:2822(TypeAliasType)
        1    0.000    0.000    0.000    0.000 conv.py:570(_ConvTransposeNd)
        1    0.000    0.000    0.000    0.000 filter_observation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sparse_adam.py:1(<module>)
        1    0.000    0.000    0.000    0.000 figure.py:2149(SubFigure)
        1    0.000    0.000    0.000    0.000 profiler_util.py:339(FormattedTimesMixin)
        8    0.000    0.000    0.000    0.000 dataclasses.py:1049(<listcomp>)
        1    0.000    0.000    0.000    0.000 patches.py:1259(Arrow)
        1    0.000    0.000    0.000    0.000 threading.py:827(__init__)
        1    0.000    0.000    0.002    0.002 font_manager.py:970(json_load)
        3    0.000    0.000    0.000    0.000 typing.py:298(_tp_cache)
        2    0.000    0.000    0.000    0.000 _jit_internal.py:511(unused)
        5    0.000    0.000    0.000    0.000 __init__.py:120(<genexpr>)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:435(__exit__)
        1    0.000    0.000    0.000    0.000 tz.py:386(tzfile)
        7    0.000    0.000    0.000    0.000 core.py:3552(__init__)
        1    0.000    0.000    0.000    0.000 _VF.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rect.py:19(SDL_Point)
        1    0.000    0.000    0.000    0.000 radam.py:6(RAdam)
       28    0.000    0.000    0.000    0.000 subprocess.py:1034(__enter__)
        1    0.000    0.000    0.000    0.000 _base.py:554(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _reduction.py:1(<module>)
        1    0.000    0.000    0.000    0.000 log_normal.py:7(LogNormal)
        1    0.000    0.000    0.000    0.000 rnn.py:27(PackedSequence)
        1    0.000    0.000    0.000    0.000 _trifinder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 conv.py:174(Conv1d)
        1    0.000    0.000    0.000    0.000 queue.py:258(_PySimpleQueue)
        1    0.000    0.000    0.000    0.000 _tight_layout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:985(_DOF_estimator)
        1    0.000    0.000    0.000    0.000 widgets.py:2042(MultiCursor)
        1    0.000    0.000    0.000    0.000 _factories.py:26(__init__)
        1    0.000    0.000    0.000    0.000 _layoutgrid.py:31(LayoutGrid)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:65(_DTypeDictBase)
        8    0.000    0.000    0.000    0.000 abc.py:146(update_abstractmethods)
        6    0.000    0.000    0.000    0.000 fuser_method_mappings.py:184(reverse_sequential_wrapper2)
        1    0.000    0.000    0.000    0.000 core.py:3173(QuotedString)
        8    0.000    0.000    0.000    0.000 typing_extensions.py:620(__eq__)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:568(parser)
        1    0.000    0.000    0.000    0.000 profiler.py:29(_KinetoProfile)
        1    0.000    0.000    0.000    0.000 conv.py:596(_ConvTransposeNd)
        1    0.000    0.000    0.000    0.000 calendar.py:52(_localized_month)
        1    0.000    0.000    0.000    0.000 linear.py:79(Linear)
       12    0.000    0.000    0.000    0.000 selectors.py:64(__init__)
        1    0.000    0.000    0.000    0.000 _check.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.000    0.000 batchnorm.py:14(_NormBase)
        1    0.000    0.000    0.000    0.000 discrete.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:233(__getattr__)
        1    0.000    0.000    0.000    0.000 backend_tools.py:457(ToolViewsPositions)
       21    0.000    0.000    0.000    0.000 deprecation.py:171(__set_name__)
        2    0.000    0.000    0.000    0.000 pathlib.py:398(select_from)
        1    0.000    0.000    0.001    0.001 __init__.py:124(EntryPoint)
        1    0.000    0.000    0.000    0.000 _nbit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transformer.py:364(TransformerDecoderLayer)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
       24    0.000    0.000    0.000    0.000 registration.py:390(<lambda>)
        6    0.000    0.000    0.000    0.000 core.py:1146(__init__)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.000    0.000 normalization.py:86(LayerNorm)
        1    0.000    0.000    0.000    0.000 renderer.py:134(Texture)
        1    0.000    0.000    0.000    0.000 embedding_ops.py:67(Embedding)
        1    0.000    0.000    0.000    0.000 sprite.py:13(Sprite)
        1    0.000    0.000    0.000    0.000 dataframe_wrapper.py:1(<module>)
        5    0.000    0.000    0.000    0.000 datetime.py:397(_check_time_fields)
        4    0.000    0.000    0.000    0.000 random.py:119(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:190(change_key)
        1    0.000    0.000    0.000    0.000 npyio.py:106(NpzFile)
        4    0.000    0.000    0.000    0.000 isoparser.py:22(_takes_ascii)
        1    0.000    0.000    0.000    0.000 parse.py:155(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 unicode.py:31(unicode_set)
        1    0.000    0.000    0.000    0.000 half_cauchy.py:11(HalfCauchy)
       16    0.000    0.000    0.000    0.000 _script.py:920(_make_fail)
        1    0.000    0.000    0.000    0.000 distance.py:7(PairwiseDistance)
        4    0.000    0.000    0.000    0.000 core.py:5106(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 ssl.py:224(_TLSMessageType)
        1    0.000    0.000    0.000    0.000 datapipes.py:49(ShuffleDataFramesPipe)
        1    0.000    0.000    0.001    0.001 replicate.py:1(<module>)
        3    0.000    0.000    0.000    0.000 conv.py:168(__setstate__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        1    0.000    0.000    0.000    0.000 ast.py:67(_raise_malformed_node)
        1    0.000    0.000    0.000    0.000 linear.py:11(Linear)
        1    0.000    0.000    0.000    0.000 fold.py:9(Fold)
        1    0.000    0.000    0.000    0.000 __init__.py:273(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:495(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 rescale_action.py:1(<module>)
        1    0.000    0.000    0.000    0.000 order_enforcing.py:6(OrderEnforcing)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1339(LocationEvent)
        1    0.000    0.000    0.000    0.000 ImageChops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 convert_parameters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:1378(LineCollection)
        1    0.000    0.000    0.000    0.000 filter_observation.py:9(FilterObservation)
       30    0.000    0.000    0.000    0.000 multiarray.py:669(result_type)
        1    0.000    0.000    0.000    0.000 fake_quantize.py:35(FakeQuantizeBase)
        1    0.000    0.000    0.000    0.000 _package_unpickler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:462(YTick)
        1    0.000    0.000    0.000    0.000 rcsetup.py:97(<listcomp>)
        1    0.000    0.000    0.000    0.000 scale.py:201(LogTransform)
        1    0.000    0.000    0.000    0.000 dviread.py:65(Text)
